disease,metric,method,n_pairs,method_mean,RWR_mean,mean_increase_over_RWR,t_statistic,p_value,significance
anemia aplastic,Recall@300,QA*,2,0.6,0.9,-0.30000000000000004,-3.0000000000000013,0.2048327646991333,ns
anemia aplastic,Recall@300,DIAMOND,2,0.7,0.9,-0.2,-3602879701896397.0,1.7669748230352867e-16,***
anemia aplastic,Recall@300,GCN,2,0.9,0.9,0.0,0.0,1.0,ns
anemia hemolytic,AP@25,rNBR,2,0.003105590062111801,0.017006802721088433,-0.013901212658976633,-1.4029850746268657,0.39422197926917607,ns
anemia hemolytic,AP@25,RWR,2,0.02976190476190476,0.017006802721088433,0.012755102040816327,1.0,0.49999999999999956,ns
anemia hemolytic,AP@25,DK,2,0.0,0.017006802721088433,-0.017006802721088433,-2.5,0.2422378831816867,ns
anemia hemolytic,AP@25,DK*,2,0.0,0.017006802721088433,-0.017006802721088433,-2.5,0.2422378831816867,ns
anemia hemolytic,AP@25,QA0,2,0.03946706887883358,0.017006802721088433,0.02246026615774515,0.5859207708779444,0.6625897395141354,ns
anemia hemolytic,AP@25,QA1,2,0.06837537462537463,0.017006802721088433,0.051368571904286196,0.9644414176542501,0.5115222701517232,ns
anemia hemolytic,AP@25,QA*,2,0.07397959183673469,0.017006802721088433,0.05697278911564626,1.2641509433962264,0.42606194393325997,ns
anemia hemolytic,AP@25,DIAMOND,2,0.11776377217553688,0.017006802721088433,0.10075696945444844,1.085503862044189,0.4739137475070467,ns
anemia hemolytic,AP@25,GCN,2,0.03322510822510823,0.017006802721088433,0.016218305504019793,1.0715015321756898,0.4780346651895625,ns
anemia hemolytic,AP@300,rNBR,2,0.007942392447047364,0.0303659925508665,-0.022423600103819136,-6.9208494178671245,0.09135353862841923,ns
anemia hemolytic,AP@300,RWR,2,0.04321373710774633,0.0303659925508665,0.012847744556879825,1.0697105795642674,0.4785659099129045,ns
anemia hemolytic,AP@300,DK,2,0.0051053007157776005,0.0303659925508665,-0.0252606918350889,-8.863093769574357,0.07152568175670013,ns
anemia hemolytic,AP@300,DK*,2,0.0055285134677883156,0.0303659925508665,-0.024837479083078186,-9.054338188676757,0.0700272130762755,ns
anemia hemolytic,AP@300,QA0,2,0.041322356448406865,0.0303659925508665,0.010956363897540369,0.35987622169796873,0.7800822466554087,ns
anemia hemolytic,AP@300,QA1,2,0.06837537462537463,0.0303659925508665,0.03800938207450813,0.8047834480123032,0.5685940506701601,ns
anemia hemolytic,AP@300,QA*,2,0.07524381433989526,0.0303659925508665,0.04487782178902876,1.1881673949319234,0.4453894113538604,ns
anemia hemolytic,AP@300,DIAMOND,2,0.11776377217553688,0.0303659925508665,0.08739777962467038,1.007034448106167,0.4977687226948317,ns
anemia hemolytic,AP@300,GCN,2,0.03952762923351159,0.0303659925508665,0.009161636682645089,0.594703213765105,0.6584434960294165,ns
anemia hemolytic,Recall@25,rNBR,2,0.07142857142857142,0.14285714285714285,-0.07142857142857142,-1.0,0.49999999999999956,ns
anemia hemolytic,Recall@25,RWR,2,0.14285714285714285,0.14285714285714285,0.0,0.0,1.0,ns
anemia hemolytic,Recall@25,DK,2,0.0,0.14285714285714285,-0.14285714285714285,-inf,0.0,***
anemia hemolytic,Recall@25,DK*,2,0.0,0.14285714285714285,-0.14285714285714285,-inf,0.0,***
anemia hemolytic,Recall@25,QA0,2,0.2857142857142857,0.14285714285714285,0.14285714285714285,1.0,0.49999999999999956,ns
anemia hemolytic,Recall@25,QA1,2,0.3571428571428571,0.14285714285714285,0.21428571428571427,3.0,0.20483276469913345,ns
anemia hemolytic,Recall@25,QA*,2,0.2857142857142857,0.14285714285714285,0.14285714285714285,1.0,0.49999999999999956,ns
anemia hemolytic,Recall@25,DIAMOND,2,0.3571428571428571,0.14285714285714285,0.21428571428571427,3.0,0.20483276469913345,ns
anemia hemolytic,Recall@25,GCN,2,0.2857142857142857,0.14285714285714285,0.14285714285714285,inf,0.0,***
anemia hemolytic,Recall@300,rNBR,2,0.2857142857142857,0.3571428571428571,-0.07142857142857142,-1.0,0.49999999999999956,ns
anemia hemolytic,Recall@300,RWR,2,0.3571428571428571,0.3571428571428571,0.0,0.0,1.0,ns
anemia hemolytic,Recall@300,DK,2,0.3571428571428571,0.3571428571428571,0.0,0.0,1.0,ns
anemia hemolytic,Recall@300,DK*,2,0.3571428571428571,0.3571428571428571,0.0,0.0,1.0,ns
anemia hemolytic,Recall@300,QA0,2,0.3571428571428571,0.3571428571428571,0.0,0.0,1.0,ns
anemia hemolytic,Recall@300,QA1,2,0.3571428571428571,0.3571428571428571,0.0,0.0,1.0,ns
anemia hemolytic,Recall@300,QA*,2,0.3571428571428571,0.3571428571428571,0.0,0.0,1.0,ns
anemia hemolytic,Recall@300,DIAMOND,2,0.3571428571428571,0.3571428571428571,0.0,0.0,1.0,ns
anemia hemolytic,Recall@300,GCN,2,0.3571428571428571,0.3571428571428571,0.0,0.0,1.0,ns
aneurysm,AP@25,rNBR,2,0.0,0.0,0.0,0.0,1.0,ns
aneurysm,AP@25,RWR,2,0.0,0.0,0.0,0.0,1.0,ns
aneurysm,AP@25,DK,2,0.0,0.0,0.0,0.0,1.0,ns
aneurysm,AP@25,DK*,2,0.0,0.0,0.0,0.0,1.0,ns
aneurysm,AP@25,QA0,2,0.0,0.0,0.0,0.0,1.0,ns
aneurysm,AP@25,QA1,2,0.005952380952380952,0.0,0.005952380952380952,1.0,0.49999999999999956,ns
aneurysm,AP@25,QA*,2,0.0,0.0,0.0,0.0,1.0,ns
aneurysm,AP@25,DIAMOND,2,0.0,0.0,0.0,0.0,1.0,ns
aneurysm,AP@25,GCN,2,0.0,0.0,0.0,0.0,1.0,ns
aneurysm,AP@300,rNBR,2,0.0,0.0025,-0.0025,-1.0,0.49999999999999956,ns
aneurysm,AP@300,RWR,2,0.0,0.0025,-0.0025,-1.0,0.49999999999999956,ns
aneurysm,AP@300,DK,2,0.0,0.0025,-0.0025,-1.0,0.49999999999999956,ns
aneurysm,AP@300,DK*,2,0.0,0.0025,-0.0025,-1.0,0.49999999999999956,ns
aneurysm,AP@300,QA0,2,0.0024509803921568627,0.0025,-4.901960784313734e-05,-1.0,0.49999999999999956,ns
aneurysm,AP@300,QA1,2,0.005952380952380952,0.0025,0.003452380952380952,1.0,0.49999999999999956,ns
aneurysm,AP@300,QA*,2,0.002403846153846154,0.0025,-9.615384615384607e-05,-1.0,0.49999999999999956,ns
